,task,loss,length
0,0,2.8332033157348633,11
1,1,2.36188006401062,22
2,0,5.969631671905518,4
3,1,0.7078546285629272,61
4,0,1.6784778833389282,7
5,1,1.4507652521133423,19
6,0,3.2988598346710205,6
7,0,3.7923197746276855,4
8,0,2.7037031650543213,6
9,0,2.773254871368408,5
10,0,3.720836639404297,5
11,1,1.096358060836792,49
12,1,0.90606689453125,52
13,1,1.3114309310913086,59
14,1,0.6424595713615417,48
15,1,0.7825075387954712,44
16,0,6.666878700256348,9
17,0,3.407621383666992,5
18,0,3.08732533454895,3
19,1,0.6158534288406372,44
20,0,5.703976631164551,4
21,1,0.46483510732650757,62
22,0,5.329026222229004,7
23,1,3.2392308712005615,12
24,1,0.5070590972900391,57
25,0,4.340513229370117,6
26,1,1.0363847017288208,47
27,1,2.2026302814483643,47
28,1,0.5913756489753723,64
29,1,0.9786507487297058,45
30,1,1.6179507970809937,39
31,1,1.2511231899261475,51
32,0,3.1903562545776367,4
33,0,4.750390529632568,4
34,1,0.9064173102378845,52
35,1,0.7969242930412292,59
36,0,2.6822099685668945,5
37,1,1.1338106393814087,48
38,0,4.573470115661621,5
39,1,1.0191545486450195,42
40,1,0.9356580376625061,45
41,1,0.6067090034484863,31
42,1,0.8276877999305725,31
43,1,0.7501446604728699,36
44,1,0.3625984191894531,55
45,1,1.576515793800354,39
46,1,0.5764226913452148,47
47,0,5.1549577713012695,10
48,1,0.7819259762763977,19
49,0,6.180895805358887,4
50,1,0.9838589429855347,42
51,1,1.0560375452041626,63
52,1,0.6428762078285217,34
53,0,5.500761985778809,4
54,1,0.6830337047576904,40
55,1,0.9465880393981934,57
56,1,1.0202717781066895,61
57,1,1.4057503938674927,38
58,1,0.6336911916732788,44
59,1,0.8838672637939453,54
60,1,0.6494759321212769,36
61,1,0.8143923282623291,48
62,1,0.6162082552909851,35
63,0,3.164525032043457,6
64,1,0.40746158361434937,55
65,0,4.210426330566406,8
66,1,0.5055708289146423,48
67,1,0.6885549426078796,49
68,1,1.1406166553497314,49
69,1,0.7941800951957703,48
70,0,4.475492000579834,4
71,0,4.864604949951172,3
72,0,6.416831970214844,2
73,1,0.8680599927902222,46
74,0,4.742068767547607,3
75,1,0.42387568950653076,34
76,1,0.9863784909248352,45
77,0,4.704361438751221,5
78,1,1.4797120094299316,41
79,1,0.8965069651603699,52
80,1,0.633847713470459,45
81,0,4.50919246673584,9
82,1,0.9016962647438049,59
83,1,1.6234540939331055,37
84,1,0.7875266075134277,31
85,1,1.280326008796692,43
86,1,0.7060452103614807,51
87,1,0.819175124168396,36
88,0,2.028377056121826,4
89,1,0.5669228434562683,42
90,1,0.6582973599433899,60
91,1,1.4255179166793823,44
92,1,1.4462753534317017,27
93,0,2.4636762142181396,34
94,0,3.2148423194885254,4
95,0,4.158925533294678,8
