,task,loss,length
0,0,32.08671188354492,11
1,1,55.35901641845703,22
2,0,21.516124725341797,4
3,1,41.82197570800781,61
4,0,12.99273681640625,7
5,1,27.867902755737305,19
6,0,8.758698463439941,5
7,0,16.133371353149414,5
8,1,50.965354919433594,49
9,0,29.615482330322266,6
10,0,18.644062042236328,4
11,0,20.485715866088867,6
12,1,41.81787109375,44
13,0,59.44923400878906,9
14,0,17.589855194091797,5
15,1,59.47940444946289,52
16,1,66.76976013183594,59
17,1,27.167491912841797,48
18,0,9.977239608764648,3
19,1,34.154476165771484,44
20,0,14.745254516601562,4
21,1,38.57899475097656,62
22,0,37.19212341308594,7
23,1,38.21697998046875,12
24,1,90.2430191040039,47
25,1,50.84064483642578,64
26,1,54.011573791503906,45
27,1,27.790132522583008,57
28,0,25.655879974365234,6
29,1,27.451732635498047,47
30,1,65.4944839477539,39
31,1,53.285911560058594,51
32,0,14.271318435668945,4
33,0,14.17175006866455,4
34,1,51.22700119018555,52
35,1,43.34832000732422,59
36,0,11.19228458404541,5
37,1,53.898536682128906,48
38,0,25.0905704498291,5
39,1,36.902137756347656,42
40,1,47.989906311035156,45
41,1,18.964801788330078,31
42,1,22.759830474853516,31
43,1,25.202800750732422,36
44,1,23.61012840270996,55
45,1,59.629676818847656,39
46,1,41.31304931640625,47
47,0,40.259822845458984,10
48,1,13.176992416381836,19
49,0,15.756159782409668,4
50,1,66.41114044189453,42
51,1,56.01120376586914,63
52,1,33.04584884643555,34
53,0,26.111692428588867,4
54,1,37.65909957885742,38
55,1,51.46811294555664,44
56,1,42.33995056152344,54
57,1,14.9737548828125,40
58,1,55.30495834350586,57
59,1,41.70252990722656,61
60,1,26.743139266967773,36
61,1,36.867557525634766,48
62,1,43.52714157104492,35
63,0,16.449453353881836,6
64,1,37.52653121948242,55
65,0,45.85820770263672,8
66,1,12.509026527404785,48
67,1,37.4718132019043,49
68,1,43.716217041015625,49
69,1,39.88725662231445,48
70,0,14.54111099243164,4
71,0,11.097275733947754,3
72,0,9.009045600891113,2
73,1,38.80185317993164,46
74,0,21.30079460144043,3
75,1,20.9671688079834,34
76,1,62.66395568847656,45
77,0,25.994613647460938,5
78,1,71.13986206054688,41
79,1,38.11374282836914,52
80,1,47.46825408935547,45
81,0,42.94113540649414,9
82,1,57.658790588378906,59
83,1,51.974273681640625,37
84,1,35.01774215698242,36
85,0,18.629945755004883,4
86,1,21.045772552490234,42
87,1,24.89794158935547,31
88,1,43.92203140258789,43
89,1,49.6585807800293,51
90,0,79.938720703125,34
91,0,17.55681610107422,4
92,0,41.68954086303711,8
93,1,28.010753631591797,60
94,1,37.71485137939453,44
95,1,61.55107498168945,27
96,0,108.97306823730469,7
97,1,69.7708740234375,53
98,1,40.04975891113281,31
99,1,92.02616882324219,54
100,1,43.23348617553711,64
101,1,21.703271865844727,22
102,1,40.16132736206055,48
103,0,18.57223129272461,5
104,1,71.117919921875,42
105,1,37.58592224121094,40
106,1,20.805871963500977,44
107,0,10.03419017791748,11
108,0,22.962583541870117,4
109,0,42.680721282958984,9
110,1,60.004207611083984,58
111,1,12.370051383972168,24
112,1,62.35619354248047,43
113,1,48.623443603515625,31
114,1,72.19954681396484,76
115,1,53.68329620361328,48
116,1,43.80694580078125,22
117,0,22.018953323364258,8
118,0,27.803722381591797,7
119,0,112.84021759033203,40
120,1,30.29341697692871,36
121,1,40.70940017700195,57
122,1,44.223140716552734,65
123,0,46.570072174072266,13
124,0,16.288694381713867,5
125,1,65.30779266357422,49
126,0,33.16457748413086,4
127,1,48.446964263916016,57
128,0,23.313472747802734,2
129,1,38.49785232543945,28
130,0,26.706907272338867,7
131,0,5.797946929931641,3
132,1,22.664886474609375,37
133,0,14.970298767089844,3
134,1,20.06093406677246,39
135,0,39.01922607421875,11
136,1,36.270042419433594,43
137,1,61.55348205566406,39
138,1,41.0112419128418,44
139,1,39.8057975769043,52
140,1,32.32463836669922,29
141,1,42.434967041015625,50
142,1,22.501745223999023,51
143,1,52.268924713134766,35
144,0,45.48588562011719,2
145,1,41.14501190185547,24
146,1,67.71209716796875,40
147,0,22.676048278808594,6
148,1,58.97450637817383,54
149,1,21.19735336303711,40
150,0,12.617165565490723,4
151,0,16.78460693359375,2
152,1,48.7673454284668,56
153,0,15.704934120178223,6
154,1,92.21524810791016,46
155,1,34.29071044921875,52
156,0,43.4673957824707,7
157,1,30.293495178222656,27
158,0,25.694154739379883,7
159,0,12.314910888671875,7
160,1,29.953807830810547,31
161,1,32.61616516113281,27
162,0,34.211219787597656,7
163,0,11.774958610534668,3
164,1,40.57211685180664,46
165,1,59.39047622680664,52
166,1,48.93661880493164,59
167,1,49.72881317138672,32
168,1,83.07878112792969,71
169,1,51.13758850097656,71
170,0,17.56563377380371,5
171,1,25.021512985229492,29
172,0,9.078058242797852,4
173,1,37.11980056762695,66
174,0,25.343786239624023,5
175,0,12.371082305908203,3
176,1,63.7852668762207,53
177,1,34.25825500488281,69
178,1,35.017127990722656,23
179,0,36.3573112487793,7
180,1,32.80396270751953,57
181,1,53.490379333496094,62
182,1,44.94658660888672,54
183,1,37.32027816772461,30
184,1,48.872955322265625,61
185,1,35.05121612548828,45
186,0,31.250886917114258,4
187,1,32.987815856933594,58
188,1,30.989850997924805,38
189,1,71.29199981689453,57
190,1,54.60443878173828,62
191,0,15.831364631652832,8
192,1,14.862883567810059,47
193,1,24.749895095825195,19
194,1,67.65653991699219,46
195,0,13.65685749053955,2
196,0,17.200105667114258,7
197,1,36.52210235595703,57
198,0,45.954345703125,11
199,0,16.50937271118164,4
200,1,48.893409729003906,61
201,1,24.270658493041992,62
202,0,37.7764778137207,4
203,1,60.60942459106445,58
204,1,63.57838439941406,70
205,1,45.00251388549805,61
206,0,12.368193626403809,4
207,1,20.228771209716797,43
208,1,86.48501586914062,67
209,1,73.455810546875,43
210,0,16.55893898010254,4
211,0,15.028570175170898,4
212,0,23.912057876586914,4
213,0,15.025464057922363,7
214,0,37.86411666870117,11
215,1,38.689476013183594,67
216,1,85.36071014404297,40
217,1,35.486907958984375,49
218,1,28.58464241027832,40
219,1,97.0822982788086,56
220,0,3.530470848083496,3
221,1,57.2457389831543,58
222,0,36.942081451416016,7
223,1,36.066593170166016,41
224,0,12.26366138458252,3
225,1,43.94411087036133,47
226,0,26.739410400390625,5
227,0,11.384425163269043,2
228,1,56.8305549621582,36
229,1,66.26385498046875,52
230,1,50.65116500854492,66
231,0,36.01765823364258,75
232,1,14.515299797058105,22
233,1,18.405479431152344,32
234,1,80.09031677246094,68
235,0,12.35001277923584,7
236,1,31.064273834228516,55
237,1,24.45717430114746,62
238,0,13.184645652770996,4
239,1,59.773128509521484,45
240,0,37.41643524169922,5
241,1,80.86442565917969,61
242,1,89.73758697509766,61
243,1,58.832679748535156,72
244,0,118.96892547607422,4
245,0,17.14344024658203,4
246,1,48.99885177612305,45
247,0,29.737899780273438,4
248,0,30.91726303100586,8
249,1,53.46140670776367,34
250,0,14.616313934326172,4
251,0,8.58156967163086,2
252,1,61.93003845214844,42
253,0,7.3253560066223145,2
254,1,103.1091537475586,60
255,1,23.832727432250977,44
256,0,16.001461029052734,3
257,0,10.780649185180664,5
258,0,81.04969024658203,37
