,,0,0,0,0
condition,,Rate: dys: 07.,Rate: dys: 08.,Rate: dys: 09.,Wav: ctl
intl,speaker,,,,
Very low,F03,2.9000000000000004,2.4,2.6,2.4
Very low,M01,1.5,1.0,1.0,0.7000000000000001
Very low,M04,0.5,0.5,0.4,0.5
Very low,M12,2.3,2.0,2.1,1.3
Low,F02,5.6000000000000005,5.3,3.1,3.6999999999999997
Low,M07,4.1000000000000005,4.0,4.2,3.3000000000000003
Low,M16,15.8,15.2,13.700000000000001,14.299999999999999
Mid,F04,17.4,17.8,18.4,20.5
Mid,M05,16.7,13.4,13.600000000000001,12.9
Mid,M11,13.0,11.600000000000001,10.5,10.0
High,F05,36.8,41.9,47.3,52.1
High,M08,42.9,46.800000000000004,45.5,46.5
High,M09,25.5,26.700000000000003,26.700000000000003,28.1
High,M10,41.099999999999994,47.099999999999994,50.3,53.0
High,M14,37.4,41.699999999999996,38.0,41.8
