intl,complex_onset,complex_coda,factor,0,1
high,False,False,ctl,0.7199236155315086,1571
high,False,True,ctl,0.625,240
high,True,False,ctl,0.552,125
high,True,True,ctl,0.5333333333333333,15
hmid,False,False,ctl,0.5562632696390658,942
hmid,False,True,ctl,0.2937062937062937,143
hmid,True,False,ctl,0.21621621621621623,74
hmid,True,True,ctl,0.3333333333333333,9
low,False,False,ctl,0.337953091684435,938
low,False,True,ctl,0.1527777777777778,144
low,True,False,ctl,0.06666666666666667,75
low,True,True,ctl,0.1111111111111111,9
very low,False,False,ctl,0.19694533762057878,1244
very low,False,True,ctl,0.053475935828877004,187
very low,True,False,ctl,0.01020408163265306,98
very low,True,True,ctl,0.0,12
