,,,"base-dependent,validation","base-dependent,validation","base-dependent,test","base-dependent,test","finetune-dys,validation","finetune-dys,validation","finetune-dys,test","finetune-dys,test","finetune-dependent,validation","finetune-dependent,validation","finetune-dependent,test","finetune-dependent,test","multitask-dependent,validation","multitask-dependent,validation","multitask-dependent,test","multitask-dependent,test"
,,,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count,pct_correct,count
intl,complex_onset,complex_coda,,,,,,,,,,,,,,,,
ctl,False,False,0.588477366255144,729.0,0.6038291605301914,679.0,0.8963636363636364,550.0,0.9054820415879016,529.0,0.9053497942386832,729.0,0.9204712812960236,679.0,0.9204389574759944,729.0,0.9322533136966128,679.0
ctl,False,True,0.3304347826086956,115.0,0.3884297520661157,121.0,0.8387096774193549,93.0,0.7714285714285715,105.0,0.8173913043478261,115.0,0.743801652892562,121.0,0.8695652173913043,115.0,0.8016528925619835,121.0
ctl,True,False,0.4482758620689655,58.0,0.3968253968253968,63.0,0.7222222222222222,54.0,0.7346938775510204,49.0,0.8275862068965517,58.0,0.746031746031746,63.0,0.896551724137931,58.0,0.6984126984126984,63.0
ctl,True,True,0.6666666666666666,3.0,0.6666666666666666,6.0,0.6666666666666666,3.0,1.0,5.0,0.6666666666666666,3.0,0.8333333333333334,6.0,0.6666666666666666,3.0,0.8333333333333334,6.0
high,False,False,0.6060606060606061,66.0,0.6060606060606061,66.0,0.8818897637795275,127.0,0.9272727272727272,110.0,0.9545454545454546,66.0,0.9090909090909092,66.0,0.8636363636363636,66.0,0.8787878787878788,66.0
high,False,True,0.6153846153846154,13.0,0.2727272727272727,11.0,0.8333333333333334,18.0,0.6666666666666666,15.0,0.8461538461538461,13.0,0.9090909090909092,11.0,0.9230769230769232,13.0,0.9090909090909092,11.0
high,True,False,0.5,2.0,0.2,5.0,1.0,3.0,0.6153846153846154,13.0,0.5,2.0,0.8,5.0,0.5,2.0,0.8,5.0
high,True,True,,,,,1.0,1.0,1.0,1.0,,,,,,,,
hmid,False,False,0.5609756097560976,41.0,0.6829268292682927,41.0,0.8888888888888888,72.0,0.8636363636363636,66.0,0.902439024390244,41.0,0.902439024390244,41.0,0.8780487804878049,41.0,0.951219512195122,41.0
hmid,False,True,0.3333333333333333,6.0,0.375,8.0,0.7,10.0,0.8888888888888888,9.0,0.6666666666666666,6.0,0.875,8.0,0.6666666666666666,6.0,0.75,8.0
hmid,True,False,0.6666666666666666,3.0,1.0,1.0,0.75,4.0,0.5,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
hmid,True,True,0.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,
low,False,False,0.6052631578947368,38.0,0.5384615384615384,39.0,0.9242424242424242,66.0,0.9264705882352942,68.0,0.9736842105263158,38.0,0.8717948717948718,39.0,0.9473684210526316,38.0,0.8974358974358975,39.0
low,False,True,0.3333333333333333,3.0,0.25,4.0,0.6,10.0,0.7142857142857143,7.0,1.0,3.0,0.75,4.0,1.0,3.0,1.0,4.0
low,True,False,0.6666666666666666,3.0,0.375,8.0,1.0,2.0,0.8333333333333334,6.0,0.6666666666666666,3.0,0.75,8.0,1.0,3.0,0.75,8.0
low,True,True,,,0.5,2.0,,,0.3333333333333333,3.0,,,0.5,2.0,,,0.5,2.0
very low,False,False,0.4871794871794871,39.0,0.6756756756756757,37.0,0.9183673469387756,98.0,0.8764044943820225,89.0,0.8974358974358975,39.0,0.945945945945946,37.0,0.8717948717948718,39.0,0.972972972972973,37.0
very low,False,True,0.3571428571428571,14.0,0.6666666666666666,3.0,0.75,20.0,0.8181818181818182,11.0,0.7857142857142857,14.0,1.0,3.0,0.9285714285714286,14.0,1.0,3.0
very low,True,False,0.4,5.0,0.6,5.0,1.0,8.0,0.8,10.0,0.6,5.0,1.0,5.0,0.6,5.0,1.0,5.0
very low,True,True,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0
